전략,질문
경력 및 경험,"프로젝트에서 예상치 못한 기술적 이슈를 경험한 적이 있다면, 어떻게 대처했나요?"
경력 및 경험,KT 인턴 당시 문서 처리 시스템 고도화에 기여한 내용을 자세히 설명해 주세요.
경력 및 경험,졸업 프로젝트로 진행한 AI 면접관 시스템에서 맡은 역할은 무엇이었나요?
경력 및 경험,BDSA 활동 중 팀 프로젝트를 어떻게 주도하고 조율했는지 알려주세요.
경력 및 경험,Flask API를 개발한 경험에서 가장 어려웠던 점은 무엇이었나요?
경력 및 경험,OCR 후처리 파이프라인을 설계하면서 맡은 책임과 성과는 무엇이었나요?
경력 및 경험,"공공데이터 기반 프로젝트에서 어떤 데이터를 활용했고, 결과는 어땠나요?"
경력 및 경험,교과목 프로젝트에서 실무 경험과 연결된 부분이 있다면 말씀해 주세요.
경력 및 경험,"졸업 과제에서 가장 도전적이었던 기술은 무엇이었고, 왜 그랬나요?"
경력 및 경험,Python을 사용한 프로젝트 중 기억에 남는 것은 무엇인가요?
문제 해결,로컬에서 문제없던 서버 코드가 배포 환경에서 문제를 일으켰던 경험이 있나요? 어떻게 해결했나요?
문제 해결,복잡한 에러를 디버깅할 때 본인만의 접근 방식이 있다면 설명해 주세요.
문제 해결,"OCR 성능 개선을 위해 어떤 방법을 시도했고, 어떤 결과를 얻었나요?"
문제 해결,프로젝트 중 일정이나 성능 문제로 인해 계획을 수정했던 경험이 있나요?
문제 해결,"LSTM 모델 성능 개선을 위해 어떤 시도를 했으며, 효과는 어땠나요?"
문제 해결,문제가 명확하지 않을 때 문제를 정의하고 해결했던 경험을 말씀해 주세요.
문제 해결,예상치 못한 데이터 오류나 누락을 발견했을 때 어떻게 대응했나요?
문제 해결,문제 해결 과정에서 협업이 중요한 역할을 했던 사례가 있다면 설명해 주세요.
문제 해결,"디버깅 도구나 기법 중 자주 사용하는 것이 있다면, 이유와 함께 소개해 주세요."
문제 해결,"프로젝트 도중 마주한 가장 큰 기술적 난관은 무엇이었고, 어떻게 극복했나요?"
동기 및 태도,개발 외적으로 스트레스를 관리하거나 동기를 유지하기 위해 어떤 노력을 하나요?
동기 및 태도,빠르게 몰입하는 성격이 어떤 개발 환경에서 장점으로 작용했는지 사례와 함께 설명해주세요.
동기 및 태도,문제 해결에 대한 집요함이 프로젝트에서 어떻게 드러났는지 사례를 들어 말씀해 주세요.
동기 및 태도,"지원 직무를 선택하게 된 계기와, 본인의 장기적인 성장 목표는 무엇인가요?"
동기 및 태도,반복 학습이나 알고리즘 문제 풀이가 개발자로서 어떤 영향력을 줬다고 생각하나요?
동기 및 태도,회사 선택 시 중요하게 생각하는 기준은 무엇인가요?
동기 및 태도,꾸준함이 발휘된 경험이 있다면 개발과 관련해서 말씀해 주세요.
동기 및 태도,"자기 주도적으로 학습한 기술이 있다면, 그것이 프로젝트에 어떻게 연결되었나요?"
동기 및 태도,실패를 성장의 기회로 삼았던 경험이 있다면 말씀해 주세요.
동기 및 태도,"입사 후 어떻게 성장하고 싶으며, 어떤 역할을 맡고 싶은가요?"
기술 및 깊이,Tesseract와 딥러닝 후처리를 결합한 이유와 그 구조를 설명해 주세요.
기술 및 깊이,"Streamlit, FAISS, GPT를 활용한 프로젝트에서 기술적 통합은 어떻게 했나요?"
기술 및 깊이,LSTM을 교통량 예측에 적용하게 된 배경과 그 성능을 설명해 주세요.
기술 및 깊이,MySQL과 MongoDB를 각각 어떤 상황에서 사용해 보셨나요? 차이를 어떻게 이해하고 계신가요?
기술 및 깊이,"Jenkins를 사용한 배포 경험이 있다면, 어떤 설정이나 과정이 가장 중요했나요?"
기술 및 깊이,Docker를 사용한 개발 환경 구성 경험이 있다면 설명해 주세요.
기술 및 깊이,OpenCV를 사용한 프로젝트 경험이 있다면 기능과 목적을 함께 설명해 주세요.
기술 및 깊이,PyTorch와 TensorFlow를 사용해 본 경험이 있다면 각각 어떤 프로젝트였나요?
기술 및 깊이,"SQL 최적화를 해 본 경험이 있다면, 어떤 문제였고 어떻게 해결했나요?"
기술 및 깊이,코드 성능 개선을 위해 했던 리팩토링 경험이 있다면 설명해 주세요.
커뮤니케이션 및 협업,프로젝트에서 다른 팀원들과 갈등이나 의견 차이가 있었을 때 어떻게 해결하셨나요?
커뮤니케이션 및 협업,"피드백을 받거나 준 경험 중, 가장 기억에 남는 사례를 말씀해 주세요."
커뮤니케이션 및 협업,협업 시 본인의 커뮤니케이션 스타일은 어떤 편인가요?
커뮤니케이션 및 협업,"코드 리뷰가 중요한 이유는 무엇이라고 생각하며, 경험한 바가 있다면 말씀해 주세요."
커뮤니케이션 및 협업,Jira를 활용한 협업에서 배운 점이 있다면 알려 주세요.
커뮤니케이션 및 협업,Git을 이용한 협업 중 충돌이 발생했을 때 어떻게 해결했나요?
커뮤니케이션 및 협업,팀 내 역할 분담 시 본인이 맡았던 부분과 이유는 무엇이었나요?
커뮤니케이션 및 협업,"의사소통이 잘 된 프로젝트 경험과, 그 이유는 무엇이라고 생각하나요?"
커뮤니케이션 및 협업,협업 중 일정 조율이나 일정 관리 경험이 있다면 말씀해 주세요.
커뮤니케이션 및 협업,"다른 직군(기획, 디자이너 등)과 협업한 경험이 있다면, 어떤 방식으로 소통했나요?"
